name,governmentId,email,debtAmount,debtDueDate,debtId
Elijah Santos,9558,janet95@example.com,7811,2024-01-19,ea23f2ca-663a-4266-a742-9da4c9f4fcb3
Samuel Orr,5486,linmichael@example.com,5662,2023-02-25,acc1794e-b264-4fab-8bb7-3400d4c4734d
Leslie Morgan,9611,russellwolfe@example.net,6177,2022-10-17,9f5a2b0c-967e-4443-a03d-9d7cdcb2216f
Joseph Rivera,1126,urangel@example.org,7409,2023-08-16,33bec852-beee-477f-ae65-1475c74e1966
Jessica James,1525,lisa11@example.net,5829,2024-01-18,e2dba21b-5520-4226-82b5-90c6bb3356c6
Charles Fields,1874,melissa18@example.net,7685,2024-05-12,f94d431b-4629-4880-b4a8-047116ec5fc5
Kelly Sanchez,7032,erindavis@example.com,5932,2024-05-08,cd3359c9-e5ce-42ef-926d-b28ec70796b3
Bryan Villarreal,4133,douglasevans@example.net,5235,2024-04-21,674388d1-ebb9-4ec3-8e7e-0776a88bbdc9
Dennis Davis,7479,angela12@example.com,9269,2022-10-23,a65abc5f-4760-42a5-9dc3-a68526e48a5f
Crystal Williams,5352,annabrown@example.org,8779,2023-11-19,3f378517-33ba-4dc5-9595-28bd87ca921e
Deanna Williams,9954,rschmidt@example.net,9619,2023-11-24,04b3b8fd-fc5a-42dc-bf37-1719da4ade38
Jordan Davis,5168,masondavid@example.com,5081,2022-12-25,140c85f1-ac06-4389-ad9f-71c704a61d40
Charles Aguirre,1507,westjeremy@example.com,4640,2023-04-01,42f374d0-3491-498c-84c7-44038b45fab8
Maria Bridges,9221,reedjohn@example.com,6863,2024-01-21,99ad84c1-d17c-43a2-9000-93875627705b
Laura Vega,7791,bellashley@example.com,1117,2024-03-14,3120ffef-7cb6-4917-9c93-7998755a08de
Tanya Blankenship,3284,vargasdaniel@example.org,6630,2024-01-10,67a3febf-d139-4f09-8666-752285506b91
Eric Maldonado,8092,martinkevin@example.org,4744,2023-03-10,6b449edc-96fc-4b49-b933-ff93b7463929
Lori Johnson,9897,snichols@example.net,9374,2023-08-27,7b107c7b-3570-4715-afa0-c3559622f991
Ashley Rodriguez,2442,arobinson@example.com,2859,2023-06-07,7db1ba78-5e38-4bc0-8d6b-cb2c934417d9
Michael Walter,9956,jimmy26@example.net,2371,2023-10-23,ac8400fe-6e28-4995-ae8c-2b891841fd19
Matthew Garcia,9603,vrussell@example.net,2846,2024-09-20,d868c7f5-2728-4e30-9534-51d661fb0ba8
Roy Mclaughlin,4730,walkerdavid@example.org,5259,2024-06-14,d0f00a3d-8177-4f20-916b-4e3cf0449c5e
Ashley Garcia,6327,amanda94@example.com,4919,2022-11-03,bea77b9b-527d-4707-8a0c-9c4d962131e8
Melissa Hamilton,7066,fnixon@example.com,8855,2022-12-28,12f6c068-39d5-4e80-9914-404c31e4c1b7
Roberta Snyder,3691,hancockfrank@example.net,8456,2023-12-02,ecb86a91-1108-437e-824e-1389b8610095
Gregory Chung,8758,mmason@example.com,3468,2023-01-10,b62714a9-5bea-48ef-8a32-2c6c391e9fbd
Derek Hill,7463,awatson@example.org,9274,2023-02-03,4dffde1a-649d-4451-b054-a072c4b7b9f2
Jordan Hernandez,9014,alexandra39@example.org,5624,2022-12-15,54c734bb-312e-405b-821e-cfe08a15d3ab
Amber Olson,7864,zhayden@example.org,6426,2022-10-25,a4db4f34-bd02-475d-9a7e-15d0588f4aea
Ryan Thomas,5685,reyesdonna@example.org,2432,2023-11-29,a28dad4d-b10c-4110-a596-cbbe7e522950
Dustin Jensen,4720,nancyrios@example.com,2213,2023-04-18,5837e27f-05be-4e6b-bd27-9c894afd22ae
Anne York,3804,timothykane@example.net,9951,2023-04-18,f5a05d03-d322-4ab2-a014-f085ce92384a
Allison Alexander,4211,snowmichael@example.com,6578,2024-03-15,877fa10b-fe32-419e-affa-f2bdb10772fa
Alexander Sutton,8069,cdouglas@example.com,7061,2023-11-26,3c129909-246f-44b3-9b88-2a440d087d39
Cheryl Jones,5407,csmith@example.net,5815,2024-04-29,921cad3d-200a-4195-8325-3d1e11543661
Peter Brown,2811,sanderson@example.com,2057,2023-10-06,805e866e-7e4c-43d5-b498-7ac33d490637
Brett Bauer,9672,clayjennifer@example.net,6926,2023-11-25,420f1d46-bf03-4221-a81e-f48c078baa6b
Lauren Reyes,6050,sabrinalane@example.net,5737,2024-07-19,39a24197-e1c7-4769-bfed-86efa8604acc
Matthew Jacobs,3254,dmullins@example.org,9208,2023-01-13,aea18e3d-a946-4ef9-99bd-52654d56e281
Donna Johnson,6737,lambertamy@example.net,4519,2024-04-27,aa087649-19e9-4625-8d3d-33f5583ec1b2
